COUNTYID,MARGIN,Votes_x,Votes_y,Total Votes_x
1,-0.26443890274314213,3607,6258,10025
2,-0.018988121175378438,100893,104902,211132
3,-0.3014793051904541,6589,12438,19401
4,-0.03150192236140394,11426,12188,24189
5,-0.319047619047619,7280,14382,22260
6,-0.27236045729657027,1053,1863,2974
7,0.04435383207123242,18330,16731,36051
8,-0.3279125384352579,4753,9552,14635
9,0.015071923020275909,10098,9791,20369
10,-0.04874851192718615,30774,34009,66361
11,-0.2885887692055334,6342,11620,18289
12,-0.30615640599001664,2226,4250,6611
13,-0.29245010124385307,11806,21916,34570
14,0.040758088030025744,16357,15043,32239
15,-0.4485981308411215,1260,3372,4708
16,0.3397267472411981,2496,1203,3806
17,-0.3816931390207958,1834,4165,6107
18,-0.29746347049013017,13726,25676,40173
19,0.13924021673231424,146155,109638,262259
20,-0.3039304176581603,4079,7783,12187
21,-0.3282019449617215,7868,15799,24165
22,-0.3361132170836492,2531,5191,7914
23,-0.22650523021167943,4551,7301,12141
24,-0.15988821500772982,6889,9578,16818
25,-0.14827489872887276,11806,16052,28636
26,-0.2651888341543514,1300,2269,3654
27,0.43209443773488065,532623,205973,755969
28,-0.12945804195804195,4853,6334,11440
29,-0.2884689548785191,4462,8202,12965
30,-0.38592944089127296,7138,16491,24235
31,-0.16765182033808967,10786,15239,26561
32,-0.3785873861488228,1745,3948,5819
33,-0.3791387145639472,2774,6278,9242
34,-0.2566439851072025,8440,14437,23367
35,-0.2046229632436529,1006,1546,2639
36,-0.2126553019358567,2659,4131,6922
37,-0.26782178217821784,1446,2528,4040
38,0.03526798111635657,3647,3393,7202
39,-0.42898671096345514,671,1704,2408
40,-0.30342490189083127,5672,10775,16818
41,-0.38009630818619583,937,2121,3115
42,-0.2594431086636159,4634,7979,12893
43,-0.36177327664453257,6413,13986,20933
44,-0.013020833333333334,1112,1142,2304
45,-0.47447682378251516,1295,3721,5113
46,-0.3792351712235444,3305,7480,11009
47,-0.4059427895631606,3867,9359,13529
48,-0.37769759684117366,4404,9952,14689
49,-0.534512731363125,4367,14821,19558
50,-0.058206254846213494,8899,10025,19345
51,-0.3909313725490196,1449,3363,4896
52,0.03158169934640523,9622,9018,19125
53,-0.3060240963855422,2933,5600,8715
54,-0.15954664341761116,1404,1953,3441
55,0.10722766318323576,49491,39692,91385
56,-0.32533860820352206,11958,23800,36399
57,-0.26989143877971694,2568,4532,7277
58,-0.3022936066495844,5419,10256,16001
59,-0.4548582995951417,1306,3553,4940
60,-0.2838271129921765,5439,9865,15594
61,-0.2762745656508117,2477,4417,7022
62,0.4535622700412532,211620,77376,295977
63,-0.34744990892531874,691,1454,2196
64,-0.4123611781747948,2355,5771,8284
65,-0.3655265748031496,2496,5467,8128
66,-0.0017373760017934203,17402,17464,35686
67,-0.38683206106870227,1556,3583,5240
68,-0.46039662747892174,2188,6065,8421
69,0.15633601325179242,67704,49017,119531
70,-0.06629909623145569,40040,45872,87965
71,-0.3264942818096814,18065,36222,55612
72,-0.40783246568859444,2417,5864,8452
73,-0.22490717274709732,31879,50959,84835
74,-0.22429950776221128,7917,12656,21128
75,-0.22064896755162242,1922,3044,5085
76,-0.2950125168496052,1784,3316,5193
77,-0.4878177566568605,3286,9753,13257
78,-0.27414163090128757,661,1172,1864
79,-0.2634306179989332,4696,8153,13123
80,-0.4555164777908037,2023,5520,7677
81,-0.301087688901723,3496,6624,10389
82,0.0923398846425959,89165,73764,166786
83,-0.21457412036146895,1987,3103,5201
84,-0.3795918367346939,1026,2328,3430
85,0.003900931071283995,13333,13227,27173
86,-0.2856258947419504,28430,51973,82426
87,-0.37011577424023157,1688,3734,5528
